"Age";"Ethnicity";"Rate"
0;"WBI";0
1;"WBI";0
2;"WBI";0
3;"WBI";0
4;"WBI";0
5;"WBI";0
6;"WBI";0
7;"WBI";0
8;"WBI";0
9;"WBI";0
10;"WBI";1.11e-05
11;"WBI";0.000101105
12;"WBI";0.000679364
13;"WBI";0.00156455
14;"WBI";0.003154169
15;"WBI";0.005686387
16;"WBI";0.009322147
17;"WBI";0.014087292
18;"WBI";0.020845381
19;"WBI";0.028540567
20;"WBI";0.036757442
21;"WBI";0.045019034
22;"WBI";0.051852756
23;"WBI";0.058488029
24;"WBI";0.063789078
25;"WBI";0.067576041
26;"WBI";0.069798874
27;"WBI";0.069646469
28;"WBI";0.070586373
29;"WBI";0.070206113
30;"WBI";0.068735989
31;"WBI";0.066418396
32;"WBI";0.061011877
33;"WBI";0.062459898
34;"WBI";0.063041829
35;"WBI";0.062971694
36;"WBI";0.062433147
37;"WBI";0.054485899
38;"WBI";0.051205719
39;"WBI";0.048007312
40;"WBI";0.044975593
41;"WBI";0.042165582
42;"WBI";0.035581613
43;"WBI";0.029866835
44;"WBI";0.024946844
45;"WBI";0.020741816
46;"WBI";0.018708942
47;"WBI";0.015449643
48;"WBI";0.012709362
49;"WBI";0.010290345
50;"WBI";0
51;"WBI";0
52;"WBI";0
53;"WBI";0
54;"WBI";0
55;"WBI";0
56;"WBI";0
57;"WBI";0
58;"WBI";0
59;"WBI";0
60;"WBI";0
61;"WBI";0
62;"WBI";0
63;"WBI";0
64;"WBI";0
65;"WBI";0
66;"WBI";0
67;"WBI";0
68;"WBI";0
69;"WBI";0
70;"WBI";0
71;"WBI";0
72;"WBI";0
73;"WBI";0
74;"WBI";0
75;"WBI";0
76;"WBI";0
77;"WBI";0
78;"WBI";0
79;"WBI";0
80;"WBI";0
81;"WBI";0
82;"WBI";0
83;"WBI";0
84;"WBI";0
85;"WBI";0
0;"WHO";0
1;"WHO";0
2;"WHO";0
3;"WHO";0
4;"WHO";0
5;"WHO";0
6;"WHO";0
7;"WHO";0
8;"WHO";0
9;"WHO";0
10;"WHO";1.25e-05
11;"WHO";0.00011368
12;"WHO";0.000763862
13;"WHO";0.001759144
14;"WHO";0.003546476
15;"WHO";0.006393645
16;"WHO";0.010481611
17;"WHO";0.015839432
18;"WHO";0.023438074
19;"WHO";0.032090368
20;"WHO";0.041329236
21;"WHO";0.050618383
22;"WHO";0.058302065
23;"WHO";0.065762616
24;"WHO";0.071722996
25;"WHO";0.075980971
26;"WHO";0.078480274
27;"WHO";0.078308913
28;"WHO";0.07936572
29;"WHO";0.078938164
30;"WHO";0.07728519
31;"WHO";0.074679341
32;"WHO";0.068600374
33;"WHO";0.070228495
34;"WHO";0.070882806
35;"WHO";0.070803947
36;"WHO";0.070198418
37;"WHO";0.061262711
38;"WHO";0.057574552
39;"WHO";0.053978335
40;"WHO";0.050569538
41;"WHO";0.047410026
42;"WHO";0.040007161
43;"WHO";0.033581594
44;"WHO";0.028049667
45;"WHO";0.023321628
46;"WHO";0.021035911
47;"WHO";0.017371229
48;"WHO";0.014290118
49;"WHO";0.011570231
50;"WHO";0
51;"WHO";0
52;"WHO";0
53;"WHO";0
54;"WHO";0
55;"WHO";0
56;"WHO";0
57;"WHO";0
58;"WHO";0
59;"WHO";0
60;"WHO";0
61;"WHO";0
62;"WHO";0
63;"WHO";0
64;"WHO";0
65;"WHO";0
66;"WHO";0
67;"WHO";0
68;"WHO";0
69;"WHO";0
70;"WHO";0
71;"WHO";0
72;"WHO";0
73;"WHO";0
74;"WHO";0
75;"WHO";0
76;"WHO";0
77;"WHO";0
78;"WHO";0
79;"WHO";0
80;"WHO";0
81;"WHO";0
82;"WHO";0
83;"WHO";0
84;"WHO";0
85;"WHO";0
0;"MIX";0
1;"MIX";0
2;"MIX";0
3;"MIX";0
4;"MIX";0
5;"MIX";0
6;"MIX";0
7;"MIX";0
8;"MIX";0
9;"MIX";0
10;"MIX";5.52e-07
11;"MIX";9.74e-06
12;"MIX";0.000126576
13;"MIX";0.000376005
14;"MIX";0.000941323
15;"MIX";0.002043693
16;"MIX";0.003933923
17;"MIX";0.006830557
18;"MIX";0.011469552
19;"MIX";0.017406423
20;"MIX";0.024426962
21;"MIX";0.032144155
22;"MIX";0.03943816
23;"MIX";0.046923615
24;"MIX";0.053410234
25;"MIX";0.058506236
26;"MIX";0.061978106
27;"MIX";0.06301031
28;"MIX";0.064665892
29;"MIX";0.064707602
30;"MIX";0.063386394
31;"MIX";0.060995974
32;"MIX";0.055545181
33;"MIX";0.055963604
34;"MIX";0.055472024
35;"MIX";0.054350666
36;"MIX";0.052834408
37;"MIX";0.044908849
38;"MIX";0.040822132
39;"MIX";0.037011238
40;"MIX";0.033552455
41;"MIX";0.030482662
42;"MIX";0.02475605
43;"MIX";0.019960605
44;"MIX";0.015986572
45;"MIX";0.012723755
46;"MIX";0.01116464
47;"MIX";0.008802112
48;"MIX";0.006903193
49;"MIX";0.005284077
50;"MIX";0
51;"MIX";0
52;"MIX";0
53;"MIX";0
54;"MIX";0
55;"MIX";0
56;"MIX";0
57;"MIX";0
58;"MIX";0
59;"MIX";0
60;"MIX";0
61;"MIX";0
62;"MIX";0
63;"MIX";0
64;"MIX";0
65;"MIX";0
66;"MIX";0
67;"MIX";0
68;"MIX";0
69;"MIX";0
70;"MIX";0
71;"MIX";0
72;"MIX";0
73;"MIX";0
74;"MIX";0
75;"MIX";0
76;"MIX";0
77;"MIX";0
78;"MIX";0
79;"MIX";0
80;"MIX";0
81;"MIX";0
82;"MIX";0
83;"MIX";0
84;"MIX";0
85;"MIX";0
0;"IND";0
1;"IND";0
2;"IND";0
3;"IND";0
4;"IND";0
5;"IND";0
6;"IND";0
7;"IND";0
8;"IND";0
9;"IND";0
10;"IND";5.27e-06
11;"IND";6.59e-05
12;"IND";0.000553779
13;"IND";0.001387908
14;"IND";0.003003756
15;"IND";0.005749742
16;"IND";0.009915115
17;"IND";0.015633542
18;"IND";0.0240107
19;"IND";0.033839755
20;"IND";0.044582091
21;"IND";0.055565504
22;"IND";0.06489466
23;"IND";0.073931698
24;"IND";0.081127741
25;"IND";0.086182958
26;"IND";0.089002293
27;"IND";0.088557556
28;"IND";0.089245434
29;"IND";0.088082478
30;"IND";0.08542995
31;"IND";0.081663826
32;"IND";0.074045976
33;"IND";0.074486373
34;"IND";0.073913233
35;"IND";0.072637283
36;"IND";0.070916241
37;"IND";0.060690811
38;"IND";0.055716549
39;"IND";0.051067031
40;"IND";0.04682288
41;"IND";0.043025459
42;"IND";0.035447671
43;"IND";0.029029642
44;"IND";0.023641227
45;"IND";0.019152805
46;"IND";0.016999293
47;"IND";0.013664507
48;"IND";0.010937063
49;"IND";0.008579063
50;"IND";0
51;"IND";0
52;"IND";0
53;"IND";0
54;"IND";0
55;"IND";0
56;"IND";0
57;"IND";0
58;"IND";0
59;"IND";0
60;"IND";0
61;"IND";0
62;"IND";0
63;"IND";0
64;"IND";0
65;"IND";0
66;"IND";0
67;"IND";0
68;"IND";0
69;"IND";0
70;"IND";0
71;"IND";0
72;"IND";0
73;"IND";0
74;"IND";0
75;"IND";0
76;"IND";0
77;"IND";0
78;"IND";0
79;"IND";0
80;"IND";0
81;"IND";0
82;"IND";0
83;"IND";0
84;"IND";0
85;"IND";0
0;"PAK";0
1;"PAK";0
2;"PAK";0
3;"PAK";0
4;"PAK";0
5;"PAK";0
6;"PAK";0
7;"PAK";0
8;"PAK";0
9;"PAK";0
10;"PAK";0.000541565
11;"PAK";0.002088577
12;"PAK";0.007146291
13;"PAK";0.012503469
14;"PAK";0.01983118
15;"PAK";0.028960029
16;"PAK";0.039433874
17;"PAK";0.050590274
18;"PAK";0.064307057
19;"PAK";0.077506776
20;"PAK";0.089509854
21;"PAK";0.099804198
22;"PAK";0.105439768
23;"PAK";0.110122026
24;"PAK";0.112425757
25;"PAK";0.11255224
26;"PAK";0.110789705
27;"PAK";0.105984638
28;"PAK";0.10347185
29;"PAK";0.099850319
30;"PAK";0.095440419
31;"PAK";0.09052514
32;"PAK";0.081878999
33;"PAK";0.082745094
34;"PAK";0.082880545
35;"PAK";0.082485022
36;"PAK";0.081721339
37;"PAK";0.071430756
38;"PAK";0.067474294
39;"PAK";0.063719898
40;"PAK";0.060222338
41;"PAK";0.057012214
42;"PAK";0.048740294
43;"PAK";0.041524644
44;"PAK";0.035263599
45;"PAK";0.029856813
46;"PAK";0.027236822
47;"PAK";0.022958925
48;"PAK";0.019305109
49;"PAK";0.016039471
50;"PAK";0
51;"PAK";0
52;"PAK";0
53;"PAK";0
54;"PAK";0
55;"PAK";0
56;"PAK";0
57;"PAK";0
58;"PAK";0
59;"PAK";0
60;"PAK";0
61;"PAK";0
62;"PAK";0
63;"PAK";0
64;"PAK";0
65;"PAK";0
66;"PAK";0
67;"PAK";0
68;"PAK";0
69;"PAK";0
70;"PAK";0
71;"PAK";0
72;"PAK";0
73;"PAK";0
74;"PAK";0
75;"PAK";0
76;"PAK";0
77;"PAK";0
78;"PAK";0
79;"PAK";0
80;"PAK";0
81;"PAK";0
82;"PAK";0
83;"PAK";0
84;"PAK";0
85;"PAK";0
0;"BAN";0
1;"BAN";0
2;"BAN";0
3;"BAN";0
4;"BAN";0
5;"BAN";0
6;"BAN";0
7;"BAN";0
8;"BAN";0
9;"BAN";0
10;"BAN";0.000587162
11;"BAN";0.002264566
12;"BAN";0.007747204
13;"BAN";0.013554496
14;"BAN";0.021498053
15;"BAN";0.031394387
16;"BAN";0.042748503
17;"BAN";0.054842476
18;"BAN";0.069712042
19;"BAN";0.084020872
20;"BAN";0.09703264
21;"BAN";0.108192283
22;"BAN";0.114301515
23;"BAN";0.119377445
24;"BAN";0.12187511
25;"BAN";0.122012109
26;"BAN";0.120101564
27;"BAN";0.114892771
28;"BAN";0.112168588
29;"BAN";0.108242762
30;"BAN";0.103462226
31;"BAN";0.098133868
32;"BAN";0.088761205
33;"BAN";0.089700256
34;"BAN";0.089846888
35;"BAN";0.089417971
36;"BAN";0.08858997
37;"BAN";0.077434126
38;"BAN";0.073144698
39;"BAN";0.069075172
40;"BAN";0.06528368
41;"BAN";0.061803768
42;"BAN";0.052836802
43;"BAN";0.045014127
44;"BAN";0.038226283
45;"BAN";0.032365152
46;"BAN";0.02952502
47;"BAN";0.024887868
48;"BAN";0.020927621
49;"BAN";0.017387304
50;"BAN";0
51;"BAN";0
52;"BAN";0
53;"BAN";0
54;"BAN";0
55;"BAN";0
56;"BAN";0
57;"BAN";0
58;"BAN";0
59;"BAN";0
60;"BAN";0
61;"BAN";0
62;"BAN";0
63;"BAN";0
64;"BAN";0
65;"BAN";0
66;"BAN";0
67;"BAN";0
68;"BAN";0
69;"BAN";0
70;"BAN";0
71;"BAN";0
72;"BAN";0
73;"BAN";0
74;"BAN";0
75;"BAN";0
76;"BAN";0
77;"BAN";0
78;"BAN";0
79;"BAN";0
80;"BAN";0
81;"BAN";0
82;"BAN";0
83;"BAN";0
84;"BAN";0
85;"BAN";0
0;"CHI";0
1;"CHI";0
2;"CHI";0
3;"CHI";0
4;"CHI";0
5;"CHI";0
6;"CHI";0
7;"CHI";0
8;"CHI";0
9;"CHI";0
10;"CHI";5.46e-07
11;"CHI";8.19e-06
12;"CHI";0.000106806
13;"CHI";0.000317141
14;"CHI";0.000793946
15;"CHI";0.001723653
16;"CHI";0.003317826
17;"CHI";0.005760715
18;"CHI";0.009673084
19;"CHI";0.014679932
20;"CHI";0.02060072
21;"CHI";0.027109279
22;"CHI";0.033260893
23;"CHI";0.039574063
24;"CHI";0.045044739
25;"CHI";0.049342642
26;"CHI";0.052270733
27;"CHI";0.053141199
28;"CHI";0.054537544
29;"CHI";0.054572671
30;"CHI";0.05345848
31;"CHI";0.051442551
32;"CHI";0.046845588
33;"CHI";0.047198595
34;"CHI";0.046784158
35;"CHI";0.045838513
36;"CHI";0.044559556
37;"CHI";0.037875334
38;"CHI";0.034428298
39;"CHI";0.031214231
40;"CHI";0.028297361
41;"CHI";0.025708307
42;"CHI";0.020878541
43;"CHI";0.016834166
44;"CHI";0.013482554
45;"CHI";0.010730639
46;"CHI";0.009416
47;"CHI";0.007423675
48;"CHI";0.00582216
49;"CHI";0.00445664
50;"CHI";0
51;"CHI";0
52;"CHI";0
53;"CHI";0
54;"CHI";0
55;"CHI";0
56;"CHI";0
57;"CHI";0
58;"CHI";0
59;"CHI";0
60;"CHI";0
61;"CHI";0
62;"CHI";0
63;"CHI";0
64;"CHI";0
65;"CHI";0
66;"CHI";0
67;"CHI";0
68;"CHI";0
69;"CHI";0
70;"CHI";0
71;"CHI";0
72;"CHI";0
73;"CHI";0
74;"CHI";0
75;"CHI";0
76;"CHI";0
77;"CHI";0
78;"CHI";0
79;"CHI";0
80;"CHI";0
81;"CHI";0
82;"CHI";0
83;"CHI";0
84;"CHI";0
85;"CHI";0
0;"OAS";0
1;"OAS";0
2;"OAS";0
3;"OAS";0
4;"OAS";0
5;"OAS";0
6;"OAS";0
7;"OAS";0
8;"OAS";0
9;"OAS";0
10;"OAS";7.72e-07
11;"OAS";1.36e-05
12;"OAS";0.000177179
13;"OAS";0.000526326
14;"OAS";0.001317648
15;"OAS";0.002860727
16;"OAS";0.005506639
17;"OAS";0.009561298
18;"OAS";0.016054885
19;"OAS";0.024365217
20;"OAS";0.034192449
21;"OAS";0.044994844
22;"OAS";0.055204869
23;"OAS";0.065682883
24;"OAS";0.074762743
25;"OAS";0.081896041
26;"OAS";0.086755905
27;"OAS";0.088200766
28;"OAS";0.090518223
29;"OAS";0.090576607
30;"OAS";0.088727203
31;"OAS";0.085381133
32;"OAS";0.077751205
33;"OAS";0.078336907
34;"OAS";0.077648801
35;"OAS";0.076079144
36;"OAS";0.073956711
37;"OAS";0.062862647
38;"OAS";0.05714213
39;"OAS";0.051807705
40;"OAS";0.04696616
41;"OAS";0.042669115
42;"OAS";0.034653101
43;"OAS";0.027940518
44;"OAS";0.022377733
45;"OAS";0.017810498
46;"OAS";0.015628074
47;"OAS";0.012321048
48;"OAS";0.009662972
49;"OAS";0.007396562
50;"OAS";0
51;"OAS";0
52;"OAS";0
53;"OAS";0
54;"OAS";0
55;"OAS";0
56;"OAS";0
57;"OAS";0
58;"OAS";0
59;"OAS";0
60;"OAS";0
61;"OAS";0
62;"OAS";0
63;"OAS";0
64;"OAS";0
65;"OAS";0
66;"OAS";0
67;"OAS";0
68;"OAS";0
69;"OAS";0
70;"OAS";0
71;"OAS";0
72;"OAS";0
73;"OAS";0
74;"OAS";0
75;"OAS";0
76;"OAS";0
77;"OAS";0
78;"OAS";0
79;"OAS";0
80;"OAS";0
81;"OAS";0
82;"OAS";0
83;"OAS";0
84;"OAS";0
85;"OAS";0
0;"BLA";0
1;"BLA";0
2;"BLA";0
3;"BLA";0
4;"BLA";0
5;"BLA";0
6;"BLA";0
7;"BLA";0
8;"BLA";0
9;"BLA";0
10;"BLA";0.000234431
11;"BLA";0.001055836
12;"BLA";0.004095614
13;"BLA";0.007556385
14;"BLA";0.012560868
15;"BLA";0.019124946
16;"BLA";0.027029398
17;"BLA";0.035849207
18;"BLA";0.047017596
19;"BLA";0.058206086
20;"BLA";0.068805036
21;"BLA";0.078303273
22;"BLA";0.084336702
23;"BLA";0.08965327
24;"BLA";0.09297636
25;"BLA";0.094388243
26;"BLA";0.094069629
27;"BLA";0.091023442
28;"BLA";0.08982929
29;"BLA";0.087502934
30;"BLA";0.084322261
31;"BLA";0.080544365
32;"BLA";0.073342012
33;"BLA";0.074638454
34;"BLA";0.075175495
35;"BLA";0.075143905
36;"BLA";0.074703553
37;"BLA";0.065539014
38;"BLA";0.062133187
39;"BLA";0.058846228
40;"BLA";0.055742934
41;"BLA";0.052863199
42;"BLA";0.045270613
43;"BLA";0.038621759
44;"BLA";0.032833303
45;"BLA";0.027821199
46;"BLA";0.02539029
47;"BLA";0.021411186
48;"BLA";0.018006631
49;"BLA";0.0149601
50;"BLA";0
51;"BLA";0
52;"BLA";0
53;"BLA";0
54;"BLA";0
55;"BLA";0
56;"BLA";0
57;"BLA";0
58;"BLA";0
59;"BLA";0
60;"BLA";0
61;"BLA";0
62;"BLA";0
63;"BLA";0
64;"BLA";0
65;"BLA";0
66;"BLA";0
67;"BLA";0
68;"BLA";0
69;"BLA";0
70;"BLA";0
71;"BLA";0
72;"BLA";0
73;"BLA";0
74;"BLA";0
75;"BLA";0
76;"BLA";0
77;"BLA";0
78;"BLA";0
79;"BLA";0
80;"BLA";0
81;"BLA";0
82;"BLA";0
83;"BLA";0
84;"BLA";0
85;"BLA";0
0;"BLC";0
1;"BLC";0
2;"BLC";0
3;"BLC";0
4;"BLC";0
5;"BLC";0
6;"BLC";0
7;"BLC";0
8;"BLC";0
9;"BLC";0
10;"BLC";0.000155154
11;"BLC";0.000699607
12;"BLC";0.002713071
13;"BLC";0.005005227
14;"BLC";0.008319975
15;"BLC";0.012667768
16;"BLC";0.017903453
17;"BLC";0.02374536
18;"BLC";0.031142934
19;"BLC";0.038553801
20;"BLC";0.045574139
21;"BLC";0.051865408
22;"BLC";0.055861619
23;"BLC";0.059383102
24;"BLC";0.061584246
25;"BLC";0.062519544
26;"BLC";0.062308562
27;"BLC";0.060290941
28;"BLC";0.059500032
29;"BLC";0.057958968
30;"BLC";0.05585236
31;"BLC";0.053349942
32;"BLC";0.04857927
33;"BLC";0.049438062
34;"BLC";0.049793527
35;"BLC";0.049772611
36;"BLC";0.049480991
37;"BLC";0.04341101
38;"BLC";0.041155306
39;"BLC";0.038978385
40;"BLC";0.036922822
41;"BLC";0.035015286
42;"BLC";0.029985879
43;"BLC";0.025581711
44;"BLC";0.021747301
45;"BLC";0.018427651
46;"BLC";0.016817758
47;"BLC";0.014181722
48;"BLC";0.011927132
49;"BLC";0.009909258
50;"BLC";0
51;"BLC";0
52;"BLC";0
53;"BLC";0
54;"BLC";0
55;"BLC";0
56;"BLC";0
57;"BLC";0
58;"BLC";0
59;"BLC";0
60;"BLC";0
61;"BLC";0
62;"BLC";0
63;"BLC";0
64;"BLC";0
65;"BLC";0
66;"BLC";0
67;"BLC";0
68;"BLC";0
69;"BLC";0
70;"BLC";0
71;"BLC";0
72;"BLC";0
73;"BLC";0
74;"BLC";0
75;"BLC";0
76;"BLC";0
77;"BLC";0
78;"BLC";0
79;"BLC";0
80;"BLC";0
81;"BLC";0
82;"BLC";0
83;"BLC";0
84;"BLC";0
85;"BLC";0
0;"OBL";0
1;"OBL";0
2;"OBL";0
3;"OBL";0
4;"OBL";0
5;"OBL";0
6;"OBL";0
7;"OBL";0
8;"OBL";0
9;"OBL";0
10;"OBL";4.56e-07
11;"OBL";8.05e-06
12;"OBL";0.000104548
13;"OBL";0.000310568
14;"OBL";0.000777501
15;"OBL";0.001688022
16;"OBL";0.003249288
17;"OBL";0.00564181
18;"OBL";0.009473463
19;"OBL";0.014377119
20;"OBL";0.020175847
21;"OBL";0.026549988
22;"OBL";0.03257459
23;"OBL";0.038757324
24;"OBL";0.044115053
25;"OBL";0.048324178
26;"OBL";0.051191826
27;"OBL";0.052044391
28;"OBL";0.053411847
29;"OBL";0.053446297
30;"OBL";0.052355024
31;"OBL";0.050380618
32;"OBL";0.045878446
33;"OBL";0.04622405
34;"OBL";0.045818021
35;"OBL";0.044891818
36;"OBL";0.043639439
37;"OBL";0.037093195
38;"OBL";0.033717704
39;"OBL";0.030570035
40;"OBL";0.027713197
41;"OBL";0.025177651
42;"OBL";0.020447663
43;"OBL";0.016486787
44;"OBL";0.013204369
45;"OBL";0.010509393
46;"OBL";0.009221616
47;"OBL";0.007270248
48;"OBL";0.005701804
49;"OBL";0.004364469
50;"OBL";0
51;"OBL";0
52;"OBL";0
53;"OBL";0
54;"OBL";0
55;"OBL";0
56;"OBL";0
57;"OBL";0
58;"OBL";0
59;"OBL";0
60;"OBL";0
61;"OBL";0
62;"OBL";0
63;"OBL";0
64;"OBL";0
65;"OBL";0
66;"OBL";0
67;"OBL";0
68;"OBL";0
69;"OBL";0
70;"OBL";0
71;"OBL";0
72;"OBL";0
73;"OBL";0
74;"OBL";0
75;"OBL";0
76;"OBL";0
77;"OBL";0
78;"OBL";0
79;"OBL";0
80;"OBL";0
81;"OBL";0
82;"OBL";0
83;"OBL";0
84;"OBL";0
85;"OBL";0
0;"OTH";0
1;"OTH";0
2;"OTH";0
3;"OTH";0
4;"OTH";0
5;"OTH";0
6;"OTH";0
7;"OTH";0
8;"OTH";0
9;"OTH";0
10;"OTH";6.55e-07
11;"OTH";1.16e-05
12;"OTH";0.000150211
13;"OTH";0.000446215
14;"OTH";0.001117092
15;"OTH";0.002425303
16;"OTH";0.004668488
17;"OTH";0.008105997
18;"OTH";0.013611212
19;"OTH";0.020656649
20;"OTH";0.028988102
21;"OTH";0.038146292
22;"OTH";0.046802275
23;"OTH";0.055685456
24;"OTH";0.063383294
25;"OTH";0.06943085
26;"OTH";0.073551006
27;"OTH";0.074775949
28;"OTH";0.076740672
29;"OTH";0.076790169
30;"OTH";0.075222259
31;"OTH";0.072385485
32;"OTH";0.065916889
33;"OTH";0.066413443
34;"OTH";0.065830072
35;"OTH";0.064499328
36;"OTH";0.062699945
37;"OTH";0.053294482
38;"OTH";0.04844467
39;"OTH";0.043922185
40;"OTH";0.039817558
41;"OTH";0.036174556
42;"OTH";0.029378639
43;"OTH";0.023687762
44;"OTH";0.018971675
45;"OTH";0.015099607
46;"OTH";0.013249364
47;"OTH";0.010445692
48;"OTH";0.008192196
49;"OTH";0.00627075
50;"OTH";0
51;"OTH";0
52;"OTH";0
53;"OTH";0
54;"OTH";0
55;"OTH";0
56;"OTH";0
57;"OTH";0
58;"OTH";0
59;"OTH";0
60;"OTH";0
61;"OTH";0
62;"OTH";0
63;"OTH";0
64;"OTH";0
65;"OTH";0
66;"OTH";0
67;"OTH";0
68;"OTH";0
69;"OTH";0
70;"OTH";0
71;"OTH";0
72;"OTH";0
73;"OTH";0
74;"OTH";0
75;"OTH";0
76;"OTH";0
77;"OTH";0
78;"OTH";0
79;"OTH";0
80;"OTH";0
81;"OTH";0
82;"OTH";0
83;"OTH";0
84;"OTH";0
85;"OTH";0
