Sex,Eth,Age,Rate
M,WBI,0-4,0.000642718
M,WHO,0-4,0.000640235
M,MIX,0-4,0.000630216
M,IND,0-4,0.000880902
M,PAK,0-4,0.000828462
M,BAN,0-4,0.00062253
M,CHI,0-4,0.000695344
M,OAS,0-4,0.000657557
M,BLA,0-4,0.000562196
M,BLC,0-4,0.000540695
M,OBL,0-4,0.000571918
M,OTH,0-4,0.000512232
F,WBI,0-4,0.000489616
F,WHO,0-4,0.000539693
F,MIX,0-4,0.0005329
F,IND,0-4,0.000637365
F,PAK,0-4,0.000580123
F,BAN,0-4,0.000516983
F,CHI,0-4,0.000768607
F,OAS,0-4,0.000373716
F,BLA,0-4,0.000450917
F,BLC,0-4,0.000543217
F,OBL,0-4,0.000459861
F,OTH,0-4,0.000470987
M,WBI,5-7,0.000305085
M,WHO,5-7,0.000307603
M,MIX,5-7,0.000301114
M,IND,5-7,0.000306626
M,PAK,5-7,0.000297757
M,BAN,5-7,0.000339145
M,CHI,5-7,0.000292736
M,OAS,5-7,0.000309678
M,BLA,5-7,0.000282796
M,BLC,5-7,0.0002656
M,OBL,5-7,0.000278821
M,OTH,5-7,0.000315259
F,WBI,5-7,5.03713E-05
F,WHO,5-7,4.94854E-05
F,MIX,5-7,4.825E-05
F,IND,5-7,4.71953E-05
F,PAK,5-7,4.71894E-05
F,BAN,5-7,4.30516E-05
F,CHI,5-7,4.75797E-05
F,OAS,5-7,4.681E-05
F,BLA,5-7,4.79251E-05
F,BLC,5-7,4.55172E-05
F,OBL,5-7,4.6973E-05
F,OTH,5-7,4.73307E-05
M,WBI,8-9,0.000181691
M,WHO,8-9,0.000183474
M,MIX,8-9,0.000182417
M,IND,8-9,0.000176251
M,PAK,8-9,0.00017751
M,BAN,8-9,0.000228245
M,CHI,8-9,0.000176816
M,OAS,8-9,0.000174859
M,BLA,8-9,0.000174727
M,BLC,8-9,0.000166867
M,OBL,8-9,0.000170275
M,OTH,8-9,0.000182522
F,WBI,8-9,4.63651E-05
F,WHO,8-9,4.80259E-05
F,MIX,8-9,4.66455E-05
F,IND,8-9,5.02908E-05
F,PAK,8-9,4.90609E-05
F,BAN,8-9,3.89725E-05
F,CHI,8-9,4.77075E-05
F,OAS,8-9,4.62748E-05
F,BLA,8-9,4.852E-05
F,BLC,8-9,4.48229E-05
F,OBL,8-9,4.50034E-05
F,OTH,8-9,4.29452E-05
M,WBI,10-14,0.00015995
M,WHO,10-14,0.000158159
M,MIX,10-14,0.000150367
M,IND,10-14,0.000147752
M,PAK,10-14,0.000140262
M,BAN,10-14,0.000153318
M,CHI,10-14,0.000155158
M,OAS,10-14,0.000148679
M,BLA,10-14,0.00015118
M,BLC,10-14,0.000148554
M,OBL,10-14,0.00014963
M,OTH,10-14,0.000154106
F,WBI,10-14,6.5541E-05
F,WHO,10-14,6.28263E-05
F,MIX,10-14,6.69485E-05
F,IND,10-14,6.47139E-05
F,PAK,10-14,6.14545E-05
F,BAN,10-14,6.35011E-05
F,CHI,10-14,6.25366E-05
F,OAS,10-14,6.81051E-05
F,BLA,10-14,6.82743E-05
F,BLC,10-14,6.84724E-05
F,OBL,10-14,6.81736E-05
F,OTH,10-14,6.50077E-05
M,WBI,15,0.000238261
M,WHO,15,0.000225433
M,MIX,15,0.00021345
M,IND,15,0.000189804
M,PAK,15,0.000234664
M,BAN,15,0.000224814
M,CHI,15,0.00022172
M,OAS,15,0.000202823
M,BLA,15,0.000219067
M,BLC,15,0.000212582
M,OBL,15,0.000206984
M,OTH,15,0.000222902
F,WBI,15,0.000181137
F,WHO,15,0.000179664
F,MIX,15,0.000176502
F,IND,15,0.000161108
F,PAK,15,0.000151205
F,BAN,15,0.000190306
F,CHI,15,0.000173487
F,OAS,15,0.000179229
F,BLA,15,0.000179183
F,BLC,15,0.000176379
F,OBL,15,0.000172472
F,OTH,15,0.000182247
M,WBI,16-17,0.000448936
M,WHO,16-17,0.000437958
M,MIX,16-17,0.000406717
M,IND,16-17,0.00035825
M,PAK,16-17,0.000392234
M,BAN,16-17,0.000417142
M,CHI,16-17,0.000427079
M,OAS,16-17,0.000386287
M,BLA,16-17,0.000383193
M,BLC,16-17,0.000405952
M,OBL,16-17,0.000371903
M,OTH,16-17,0.000411355
F,WBI,16-17,0.000252341
F,WHO,16-17,0.000235909
F,MIX,16-17,0.000230876
F,IND,16-17,0.000202154
F,PAK,16-17,0.000203327
F,BAN,16-17,0.000219427
F,CHI,16-17,0.0002299
F,OAS,16-17,0.000218554
F,BLA,16-17,0.000217569
F,BLC,16-17,0.000207261
F,OBL,16-17,0.000206816
F,OTH,16-17,0.00020938
M,WBI,18-19,0.000606438
M,WHO,18-19,0.000533086
M,MIX,18-19,0.000512134
M,IND,18-19,0.000438905
M,PAK,18-19,0.000512577
M,BAN,18-19,0.000542168
M,CHI,18-19,0.000462236
M,OAS,18-19,0.000481114
M,BLA,18-19,0.00048596
M,BLC,18-19,0.000497304
M,OBL,18-19,0.000500805
M,OTH,18-19,0.000469703
F,WBI,18-19,0.000185367
F,WHO,18-19,0.000156968
F,MIX,18-19,0.000158438
F,IND,18-19,0.000151968
F,PAK,18-19,0.000167786
F,BAN,18-19,0.000174077
F,CHI,18-19,0.000147294
F,OAS,18-19,0.000163722
F,BLA,18-19,0.000157268
F,BLC,18-19,0.000155669
F,OBL,18-19,0.000149332
F,OTH,18-19,0.000147292
M,WBI,20-24,0.000533742
M,WHO,20-24,0.000455393
M,MIX,20-24,0.00043978
M,IND,20-24,0.000415353
M,PAK,20-24,0.000439369
M,BAN,20-24,0.000412298
M,CHI,20-24,0.000413964
M,OAS,20-24,0.000413498
M,BLA,20-24,0.000416203
M,BLC,20-24,0.000418925
M,OBL,20-24,0.000413965
M,OTH,20-24,0.00040834
F,WBI,20-24,0.000144905
F,WHO,20-24,0.000124942
F,MIX,20-24,0.000123243
F,IND,20-24,0.000118251
F,PAK,20-24,0.000119628
F,BAN,20-24,0.000103863
F,CHI,20-24,0.000113093
F,OAS,20-24,0.000118849
F,BLA,20-24,0.000111629
F,BLC,20-24,0.00011094
F,OBL,20-24,0.000107969
F,OTH,20-24,0.000114643
M,WBI,25-29,0.000503986
M,WHO,25-29,0.000421744
M,MIX,25-29,0.000396714
M,IND,25-29,0.00039006
M,PAK,25-29,0.00042315
M,BAN,25-29,0.000375525
M,CHI,25-29,0.000402624
M,OAS,25-29,0.000376948
M,BLA,25-29,0.000387315
M,BLC,25-29,0.000350567
M,OBL,25-29,0.00034322
M,OTH,25-29,0.00038093
F,WBI,25-29,0.000282527
F,WHO,25-29,0.000236218
F,MIX,25-29,0.000228919
F,IND,25-29,0.00023094
F,PAK,25-29,0.00025349
F,BAN,25-29,0.0002233
F,CHI,25-29,0.00022789
F,OAS,25-29,0.000224691
F,BLA,25-29,0.000215999
F,BLC,25-29,0.000202573
F,OBL,25-29,0.000200181
F,OTH,25-29,0.000211047
M,WBI,30-34,0.000818474
M,WHO,30-34,0.000665596
M,MIX,30-34,0.000641613
M,IND,30-34,0.000651748
M,PAK,30-34,0.000709921
M,BAN,30-34,0.000664321
M,CHI,30-34,0.000689837
M,OAS,30-34,0.00064376
M,BLA,30-34,0.000652631
M,BLC,30-34,0.000601561
M,OBL,30-34,0.000583211
M,OTH,30-34,0.000643504
F,WBI,30-34,0.000534787
F,WHO,30-34,0.000444927
F,MIX,30-34,0.000449275
F,IND,30-34,0.000458147
F,PAK,30-34,0.000471962
F,BAN,30-34,0.00043487
F,CHI,30-34,0.000448137
F,OAS,30-34,0.000454668
F,BLA,30-34,0.000430103
F,BLC,30-34,0.000391587
F,OBL,30-34,0.000408319
F,OTH,30-34,0.000432259
M,WBI,35-39,0.001162522
M,WHO,35-39,0.000992692
M,MIX,35-39,0.00103248
M,IND,35-39,0.001027004
M,PAK,35-39,0.001151898
M,BAN,35-39,0.001052353
M,CHI,35-39,0.0010763
M,OAS,35-39,0.001014056
M,BLA,35-39,0.001060479
M,BLC,35-39,0.001030939
M,OBL,35-39,0.000987906
M,OTH,35-39,0.001009841
F,WBI,35-39,0.000492903
F,WHO,35-39,0.00040677
F,MIX,35-39,0.000428868
F,IND,35-39,0.000432988
F,PAK,35-39,0.000470446
F,BAN,35-39,0.000400725
F,CHI,35-39,0.000437075
F,OAS,35-39,0.000415467
F,BLA,35-39,0.000414675
F,BLC,35-39,0.000404083
F,OBL,35-39,0.000390351
F,OTH,35-39,0.000403425
M,WBI,40-44,0.001653333
M,WHO,40-44,0.001545055
M,MIX,40-44,0.001619736
M,IND,40-44,0.001588656
M,PAK,40-44,0.001745086
M,BAN,40-44,0.001647938
M,CHI,40-44,0.001678947
M,OAS,40-44,0.00155211
M,BLA,40-44,0.001659368
M,BLC,40-44,0.001653257
M,OBL,40-44,0.001677725
M,OTH,40-44,0.001664748
F,WBI,40-44,0.000904654
F,WHO,40-44,0.000834101
F,MIX,40-44,0.000867122
F,IND,40-44,0.000829092
F,PAK,40-44,0.000891311
F,BAN,40-44,0.000818348
F,CHI,40-44,0.000856341
F,OAS,40-44,0.000815489
F,BLA,40-44,0.000872797
F,BLC,40-44,0.000891679
F,OBL,40-44,0.000878985
F,OTH,40-44,0.000820132
M,WBI,45-49,0.002760258
M,WHO,45-49,0.002655631
M,MIX,45-49,0.002780718
M,IND,45-49,0.00274181
M,PAK,45-49,0.003211693
M,BAN,45-49,0.003091872
M,CHI,45-49,0.002864219
M,OAS,45-49,0.002723299
M,BLA,45-49,0.002856941
M,BLC,45-49,0.002952754
M,OBL,45-49,0.003035751
M,OTH,45-49,0.002830157
F,WBI,45-49,0.001926548
F,WHO,45-49,0.001801999
F,MIX,45-49,0.001880296
F,IND,45-49,0.001807435
F,PAK,45-49,0.002047275
F,BAN,45-49,0.002043764
F,CHI,45-49,0.00189313
F,OAS,45-49,0.001788636
F,BLA,45-49,0.00189959
F,BLC,45-49,0.001955479
F,OBL,45-49,0.001949836
F,OTH,45-49,0.001834706
M,WBI,50-54,0.004783657
M,WHO,50-54,0.004716609
M,MIX,50-54,0.004928013
M,IND,50-54,0.005128816
M,PAK,50-54,0.005533249
M,BAN,50-54,0.005264924
M,CHI,50-54,0.005139528
M,OAS,50-54,0.004999372
M,BLA,50-54,0.0049936
M,BLC,50-54,0.005311378
M,OBL,50-54,0.00483373
M,OTH,50-54,0.004950139
F,WBI,50-54,0.002839541
F,WHO,50-54,0.00267004
F,MIX,50-54,0.002711192
F,IND,50-54,0.002511879
F,PAK,50-54,0.003072793
F,BAN,50-54,0.002834788
F,CHI,50-54,0.002874428
F,OAS,50-54,0.002577025
F,BLA,50-54,0.002581252
F,BLC,50-54,0.002559089
F,OBL,50-54,0.002635487
F,OTH,50-54,0.002411999
M,WBI,55-59,0.009085675
M,WHO,55-59,0.009014617
M,MIX,55-59,0.009102114
M,IND,55-59,0.008979624
M,PAK,55-59,0.010186446
M,BAN,55-59,0.01012577
M,CHI,55-59,0.009337782
M,OAS,55-59,0.008813069
M,BLA,55-59,0.009722405
M,BLC,55-59,0.009466979
M,OBL,55-59,0.009606601
M,OTH,55-59,0.009388692
F,WBI,55-59,0.005236705
F,WHO,55-59,0.004944449
F,MIX,55-59,0.005136303
F,IND,55-59,0.005061217
F,PAK,55-59,0.005611764
F,BAN,55-59,0.005496448
F,CHI,55-59,0.005084684
F,OAS,55-59,0.004820342
F,BLA,55-59,0.005160271
F,BLC,55-59,0.005088871
F,OBL,55-59,0.004991181
F,OTH,55-59,0.005099999
M,WBI,60-64,0.013394278
M,WHO,60-64,0.013166891
M,MIX,60-64,0.013554913
M,IND,60-64,0.014321089
M,PAK,60-64,0.015103394
M,BAN,60-64,0.014729272
M,CHI,60-64,0.013966188
M,OAS,60-64,0.013449043
M,BLA,60-64,0.01479756
M,BLC,60-64,0.014965504
M,OBL,60-64,0.01421015
M,OTH,60-64,0.013416272
F,WBI,60-64,0.008478736
F,WHO,60-64,0.007796828
F,MIX,60-64,0.008244718
F,IND,60-64,0.008115223
F,PAK,60-64,0.009202355
F,BAN,60-64,0.008956316
F,CHI,60-64,0.008609457
F,OAS,60-64,0.0079028
F,BLA,60-64,0.00849343
F,BLC,60-64,0.008361368
F,OBL,60-64,0.00840568
F,OTH,60-64,0.007990468
M,WBI,65-69,0.022911192
M,WHO,65-69,0.021723534
M,MIX,65-69,0.021691376
M,IND,65-69,0.026406096
M,PAK,65-69,0.026746597
M,BAN,65-69,0.027995516
M,CHI,65-69,0.024663392
M,OAS,65-69,0.022992159
M,BLA,65-69,0.02447535
M,BLC,65-69,0.026269342
M,OBL,65-69,0.026101752
M,OTH,65-69,0.024003624
F,WBI,65-69,0.014033062
F,WHO,65-69,0.013036488
F,MIX,65-69,0.013546855
F,IND,65-69,0.014679685
F,PAK,65-69,0.016049532
F,BAN,65-69,0.015518372
F,CHI,65-69,0.013035558
F,OAS,65-69,0.012968262
F,BLA,65-69,0.013980319
F,BLC,65-69,0.01448627
F,OBL,65-69,0.015121974
F,OTH,65-69,0.01404167
M,WBI,70-74,0.035511482
M,WHO,70-74,0.033528682
M,MIX,70-74,0.035372871
M,IND,70-74,0.035329313
M,PAK,70-74,0.038178855
M,BAN,70-74,0.039717779
M,CHI,70-74,0.037714095
M,OAS,70-74,0.033987014
M,BLA,70-74,0.03746816
M,BLC,70-74,0.037999961
M,OBL,70-74,0.036986686
M,OTH,70-74,0.034984883
F,WBI,70-74,0.022357321
F,WHO,70-74,0.020435599
F,MIX,70-74,0.021772484
F,IND,70-74,0.02203996
F,PAK,70-74,0.021909986
F,BAN,70-74,0.023026749
F,CHI,70-74,0.022404441
F,OAS,70-74,0.021089859
F,BLA,70-74,0.02130905
F,BLC,70-74,0.022596286
F,OBL,70-74,0.021865961
F,OTH,70-74,0.02084959
M,WBI,75-79,0.053568445
M,WHO,75-79,0.051467636
M,MIX,75-79,0.052916071
M,IND,75-79,0.056077236
M,PAK,75-79,0.05505225
M,BAN,75-79,0.056306895
M,CHI,75-79,0.053487077
M,OAS,75-79,0.050108669
M,BLA,75-79,0.052772132
M,BLC,75-79,0.05488555
M,OBL,75-79,0.053663307
M,OTH,75-79,0.049120507
F,WBI,75-79,0.036251621
F,WHO,75-79,0.032837063
F,MIX,75-79,0.034962723
F,IND,75-79,0.034293887
F,PAK,75-79,0.040495065
F,BAN,75-79,0.035971172
F,CHI,75-79,0.035172493
F,OAS,75-79,0.036560264
F,BLA,75-79,0.034393769
F,BLC,75-79,0.036076771
F,OBL,75-79,0.032703589
F,OTH,75-79,0.032692507
M,WBI,80-84,0.083077851
M,WHO,80-84,0.079049465
M,MIX,80-84,0.079285881
M,IND,80-84,0.076149714
M,PAK,80-84,0.081807149
M,BAN,80-84,0.082193902
M,CHI,80-84,0.082848321
M,OAS,80-84,0.082012875
M,BLA,80-84,0.084691998
M,BLC,80-84,0.082770314
M,OBL,80-84,0.080351248
M,OTH,80-84,0.078305286
F,WBI,80-84,0.066481274
F,WHO,80-84,0.060361427
F,MIX,80-84,0.062910722
F,IND,80-84,0.060309093
F,PAK,80-84,0.071253246
F,BAN,80-84,0.063812916
F,CHI,80-84,0.063622882
F,OAS,80-84,0.063191731
F,BLA,80-84,0.059716163
F,BLC,80-84,0.061112424
F,OBL,80-84,0.059612776
F,OTH,80-84,0.056314026
M,WBI,85+,0.171349723
M,WHO,85+,0.174934021
M,MIX,85+,0.16541562
M,IND,85+,0.136321549
M,PAK,85+,0.145053924
M,BAN,85+,0.160222187
M,CHI,85+,0.199841713
M,OAS,85+,0.147594597
M,BLA,85+,0.156466186
M,BLC,85+,0.159914348
M,OBL,85+,0.185581153
M,OTH,85+,0.144439597
F,WBI,85+,0.152717333
F,WHO,85+,0.129718685
F,MIX,85+,0.149363603
F,IND,85+,0.107601167
F,PAK,85+,0.191538092
F,BAN,85+,0.156339449
F,CHI,85+,0.127641221
F,OAS,85+,0.163585204
F,BLA,85+,0.168371076
F,BLC,85+,0.128026221
F,OBL,85+,0.13763996
F,OTH,85+,0.17530733
